True Label,Pred Label,Count,True Family,Pred Family,Different Family
167.Hooded_Warbler,168.Kentucky_Warbler,1,warbler,warbler,0
167.Hooded_Warbler,173.Orange_crowned_Warbler,1,warbler,warbler,0
168.Kentucky_Warbler,157.Yellow_throated_Vireo,1,warbler,vireo,1
168.Kentucky_Warbler,162.Canada_Warbler,1,warbler,warbler,0
169.Magnolia_Warbler,077.Tropical_Kingbird,1,warbler,kingbird,1
170.Mourning_Warbler,162.Canada_Warbler,1,warbler,warbler,0
170.Mourning_Warbler,168.Kentucky_Warbler,1,warbler,warbler,0
153.Philadelphia_Vireo,154.Red_eyed_Vireo,1,vireo,vireo,0
153.Philadelphia_Vireo,164.Cerulean_Warbler,1,vireo,warbler,1
153.Philadelphia_Vireo,170.Mourning_Warbler,1,vireo,warbler,1
153.Philadelphia_Vireo,173.Orange_crowned_Warbler,1,vireo,warbler,1
154.Red_eyed_Vireo,153.Philadelphia_Vireo,1,vireo,vireo,0
038.Great_Crested_Flycatcher,037.Acadian_Flycatcher,1,flycatcher,flycatcher,0
038.Great_Crested_Flycatcher,077.Tropical_Kingbird,1,flycatcher,kingbird,1
173.Orange_crowned_Warbler,153.Philadelphia_Vireo,1,warbler,vireo,1
174.Palm_Warbler,103.Sayornis,1,warbler,sayornis,1
174.Palm_Warbler,163.Cape_May_Warbler,1,warbler,warbler,0
175.Pine_Warbler,039.Least_Flycatcher,1,warbler,flycatcher,1
009.Brewer_Blackbird,029.American_Crow,1,blackbird,crow,1
186.Cedar_Waxwing,185.Bohemian_Waxwing,1,waxwing,waxwing,0
190.Red_cockaded_Woodpecker,192.Downy_Woodpecker,1,woodpecker,woodpecker,0
193.Bewick_Wren,129.Song_Sparrow,1,wren,sparrow,1
193.Bewick_Wren,195.Carolina_Wren,1,wren,wren,0
194.Cactus_Wren,022.Chuck_will_Widow,1,wren,widow,1
195.Carolina_Wren,193.Bewick_Wren,1,wren,wren,0
162.Canada_Warbler,154.Red_eyed_Vireo,1,warbler,vireo,1
162.Canada_Warbler,177.Prothonotary_Warbler,1,warbler,warbler,0
163.Cape_May_Warbler,176.Prairie_Warbler,1,warbler,warbler,0
005.Crested_Auklet,003.Sooty_Albatross,1,auklet,albatross,1
009.Brewer_Blackbird,026.Bronzed_Cowbird,1,blackbird,cowbird,1
181.Worm_eating_Warbler,178.Swainson_Warbler,1,warbler,warbler,0
023.Brandt_Cormorant,058.Pigeon_Guillemot,1,cormorant,guillemot,1
024.Red_faced_Cormorant,025.Pelagic_Cormorant,1,cormorant,cormorant,0
175.Pine_Warbler,161.Blue_winged_Warbler,1,warbler,warbler,0
176.Prairie_Warbler,169.Magnolia_Warbler,1,warbler,warbler,0
176.Prairie_Warbler,182.Yellow_Warbler,1,warbler,warbler,0
177.Prothonotary_Warbler,161.Blue_winged_Warbler,1,warbler,warbler,0
178.Swainson_Warbler,181.Worm_eating_Warbler,1,warbler,warbler,0
197.Marsh_Wren,199.Winter_Wren,1,wren,wren,0
198.Rock_Wren,076.Dark_eyed_Junco,1,wren,junco,1
198.Rock_Wren,179.Tennessee_Warbler,1,wren,warbler,1
198.Rock_Wren,196.House_Wren,1,wren,wren,0
199.Winter_Wren,195.Carolina_Wren,1,wren,wren,0
008.Rhinoceros_Auklet,023.Brandt_Cormorant,1,auklet,cormorant,1
023.Brandt_Cormorant,003.Sooty_Albatross,1,cormorant,albatross,1
023.Brandt_Cormorant,009.Brewer_Blackbird,1,cormorant,blackbird,1
023.Brandt_Cormorant,050.Eared_Grebe,1,cormorant,grebe,1
196.House_Wren,195.Carolina_Wren,1,wren,wren,0
196.House_Wren,198.Rock_Wren,1,wren,wren,0
197.Marsh_Wren,128.Seaside_Sparrow,1,wren,sparrow,1
197.Marsh_Wren,155.Warbling_Vireo,1,wren,vireo,1
197.Marsh_Wren,193.Bewick_Wren,1,wren,wren,0
009.Brewer_Blackbird,074.Florida_Jay,1,blackbird,jay,1
011.Rusty_Blackbird,049.Boat_tailed_Grackle,1,blackbird,grackle,1
013.Bobolink,124.Le_Conte_Sparrow,1,bobolink,sparrow,1
015.Lazuli_Bunting,054.Blue_Grosbeak,1,bunting,grosbeak,1
016.Painted_Bunting,173.Orange_crowned_Warbler,1,bunting,warbler,1
007.Parakeet_Auklet,006.Least_Auklet,1,auklet,auklet,0
005.Crested_Auklet,072.Pomarine_Jaeger,1,auklet,jaeger,1
005.Crested_Auklet,006.Least_Auklet,1,auklet,auklet,0
